feature_group	feature	eMaint CMMS	Sprocket	TabWare	FaciliWorks CMMS	Mpulse	WebTMA	WorkOasis	ZUD	AgileAssets Maintenance Manager	Maximo as a Service (MaaS)
Functionality	Asset Management	1	1	1	1	1	1	1	0	1	1
Functionality	Capital Program Management	1	1	0	0	0	1	1	0	0	0
Functionality	Environmental Sustainability	1	0	0	0	0	0	0	0	0	1
Functionality	Inventory Management	1	1	1	1	1	1	1	1	0	1
Functionality	Lease Administration	1	0	0	0	0	1	1	0	0	0
Functionality	Move Management	1	1	0	0	0	0	0	0	0	0
Functionality	Predictive Maintenance	1	0	1	1	0	1	0	0	0	0
Functionality	Real Estate Portfolio Management	0	0	0	0	0	0	1	1	0	0
Functionality	Space Management	0	0	1	0	0	0	1	0	0	0
Functionality	Work Order Management	1	1	1	1	1	0	1	1	1	1
Functionality	Maintenance Management	1	1	1	1	1	1	1	1	1	1
Functionality	Preventive Maintenance	1	1	1	1	1	1	1	1	1	1
Features	Barcode Scanning	1	1	1	1	1	0	0	0	1	0
Features	Document Management	1	1	1	1	0	0	1	1	0	1
Features	Key & Lock Management	1	0	0	0	1	1	0	0	0	0
Features	Project Management	0	0	1	0	1	1	1	1	0	1
Features	Relationship Management	1	0	0	0	0	0	0	1	0	0
Features	Timecard Management	1	0	0	1	0	1	0	1	0	0
Features	Equipment Management	1	1	1	1	1	1	1	1	1	1
Features	Maintenance Scheduling	1	1	1	1	1	1	1	1	1	1
Admin Features	Calendar	1	1	1	1	1	0	0	1	0	1
Admin Features	Mobile Access	1	1	1	1	1	1	0	0	1	0
Admin Features	Multiple Currencies	0	0	1	1	0	1	0	0	0	0
Admin Features	Multiple Languages	1	0	1	1	0	0	1	0	0	0
Admin Features	Multiple Locations	1	1	1	1	0	0	0	0	1	0
Admin Features	Reporting & Analytics	1	1	1	1	1	0	1	1	1	0
Customization Features	Category Customization	1	1	1	0	1	0	0	0	0	0
Customization Features	Custom User Interface	1	0	1	1	1	1	0	0	0	0
Customization Features	Customizable Fields	1	1	1	1	0	0	0	1	0	0
Customization Features	Customizable Functionality	1	1	1	1	0	0	0	0	1	0
Customization Features	Customizable Reports	1	1	1	1	0	0	1	0	0	0
Customization Features	Software Development Kit	1	0	0	0	0	0	1	0	0	0
Support Features	24/7	1	0	1	0	0	0	1	0	0	0
Support Features	Blog	1	0	1	0	1	0	0	0	1	1
Support Features	Brochures	0	1	1	1	0	1	1	0	0	1
Support Features	Email	1	0	1	1	0	1	1	1	1	1
Support Features	FAQ	1	0	1	1	1	0	0	0	1	0
Support Features	Forums	0	0	0	0	0	0	0	0	1	0
Support Features	Help Desk	1	1	1	1	1	0	0	0	1	1
Support Features	Instructional Videos	0	0	1	1	0	1	0	0	1	1
Support Features	Knowledge base	1	1	1	0	0	0	0	0	1	0
Support Features	Live chat	1	0	0	1	0	0	0	0	0	0
Support Features	Mailing List	1	0	0	1	0	0	1	1	1	1
Support Features	Normal business hours	1	1	1	1	1	1	1	0	0	0
Support Features	On-site	0	0	1	1	1	0	0	0	0	0
Support Features	Online self serve	1	0	1	1	1	0	0	0	0	0
Support Features	Owner's/User Manual	0	1	1	1	0	0	0	0	0	0
Support Features	Recorded demos	0	1	1	0	0	0	1	0	0	1
Support Features	Remote Training	1	0	1	1	0	0	0	0	1	1
Support Features	Request form	0	1	1	0	1	0	1	1	1	0
Support Features	System upgrades	0	0	1	0	1	0	0	0	0	1
Support Features	Tips and hints	0	0	1	1	0	0	0	0	0	0
Support Features	Webinars	0	0	1	1	0	0	0	0	1	1
Support Features	White papers	0	0	1	0	0	0	0	0	1	1
Support Features	Phone	1	1	1	1	1	1	1	1	1	1
