feature_group	feature	Plex	Microsoft Dynamics SL	NetSuite	SAP ERP	OrderStream ERP	FreeBalance Accountability Suite	FinancialForce ERP	Geneva Business Management Systems (GBMS)	Foundation 3000	Xledger
Accounting Features	Accrual-Based Costing	1	0	1	1	0	1	1	0	0	0
Accounting Features	Analytic Accounting	1	0	1	0	0	1	0	0	0	1
Accounting Features	Bank Reconciliation	1	0	1	0	0	1	1	0	1	1
Accounting Features	Billing & Invoicing	1	0	1	1	1	1	1	1	1	1
Accounting Features	Budgeting & Forecasting	1	0	1	0	0	1	1	1	1	1
Accounting Features	Tax Preparation	1	0	1	0	1	1	1	0	1	0
Business Intelligence Features	Custom Dashboards	1	0	1	1	1	0	1	1	0	1
Business Intelligence Features	Custom Reports	1	0	1	1	1	0	1	0	1	1
Business Intelligence Features	Predictive Analytics	0	0	1	0	0	0	1	0	0	0
Business Intelligence Features	Role-Based Dashboards	1	1	1	1	1	0	1	0	0	1
Business Intelligence Features	Scorecards	1	0	1	0	1	1	1	0	0	0
CRM Features	Call Center Support	0	0	1	1	0	0	1	0	0	0
CRM Features	Contact Management	1	0	1	1	1	0	0	1	1	0
CRM Features	Customer Self-Service	1	0	1	0	0	0	1	0	1	1
CRM Features	Estimating & Quoting	1	0	1	1	1	0	1	1	1	0
CRM Features	Field Service Management	1	0	1	0	0	0	0	0	0	0
CRM Features	Help Desk	1	1	1	1	1	1	0	0	1	0
CRM Features	Knowledge Base	0	0	1	0	0	0	1	0	0	0
CRM Features	Sales Force Automation	1	1	1	1	1	0	1	0	0	0
eCommerce Features	Custom Design	0	0	1	0	1	0	0	1	1	0
eCommerce Features	Custom Pricing	0	0	1	0	0	0	0	0	1	1
eCommerce Features	Customer Reviews	0	0	1	0	0	0	0	0	0	0
eCommerce Features	Shopping Cart	0	0	1	0	0	0	0	1	0	0
HR Features	Benefits	1	0	0	1	0	1	1	1	1	0
HR Features	Employee Self-Service	1	0	0	0	0	1	1	0	0	0
HR Features	Leave Management	1	0	1	0	0	0	1	1	0	0
HR Features	Performance Review	1	0	1	1	0	0	1	1	1	1
HR Features	Recruiting	0	0	1	1	0	0	1	0	0	0
HR Features	Time & Attendance	1	1	1	1	0	0	1	1	1	1
HR Features	Training	1	0	1	1	0	1	1	1	1	1
HR Features	Payroll	1	1	1	1	1	1	1	1	1	1
Inventory Features	Fleet Management	0	0	1	0	1	1	0	0	1	1
Inventory Features	Inventory Forecasting	1	0	1	1	1	1	0	0	1	1
Inventory Features	Multi-Location	1	0	1	0	0	0	1	1	1	1
Inventory Features	Reorder Triggers	1	0	1	0	1	0	0	0	1	0
Inventory Features	Tagging	1	0	1	0	0	0	0	1	1	1
Maintenance Features	Capital Projects	0	0	0	0	1	0	0	0	0	0
Maintenance Features	Energy Management	0	0	1	1	1	0	0	0	0	1
Maintenance Features	Fixed Assets	1	0	1	1	1	1	1	1	1	0
Manufacturing Features	Change Control	1	0	0	0	0	1	0	0	0	0
Manufacturing Features	Lean Manufacturing	1	0	1	0	0	0	0	0	1	0
Manufacturing Features	Quality Management	1	1	1	1	1	0	0	0	0	0
Manufacturing Features	Sampling	1	0	1	0	0	0	0	0	0	0
Project Management Features	Agile	0	0	1	0	0	0	0	0	0	0
Project Management Features	Issue Tracking	0	0	1	0	1	0	0	0	1	1
Project Management Features	Resource Management	0	0	1	1	1	1	1	0	0	1
Sales & Marketing Features	A/B Testing	0	1	0	0	0	0	0	0	0	0
Sales & Marketing Features	Commissions	1	0	1	0	0	0	0	1	0	1
Sales & Marketing Features	Email/SMS Marketing	0	0	1	0	0	0	0	0	0	1
Sales & Marketing Features	Lead Management	1	1	1	0	0	0	0	0	1	1
Sales & Marketing Features	Marketing Automation	0	0	1	0	0	0	0	0	1	0
Sales & Marketing Features	Web Analytics	0	0	1	0	0	0	0	0	0	0
Supply Chain Management Features	Bid Management	1	0	1	0	0	0	0	0	0	0
Supply Chain Management Features	Demand Forecasting	1	0	1	0	1	0	1	0	0	1
Supply Chain Management Features	Inspection of Goods	1	0	0	1	0	0	0	1	0	0
Supply Chain Management Features	Order to Cash	1	0	1	1	1	0	1	0	0	1
Supply Chain Management Features	Product Configurator	1	0	1	1	1	0	0	0	0	0
Supply Chain Management Features	Request for Proposal	1	0	0	1	0	0	0	0	0	1
Supply Chain Management Features	Supplier Self-Service	1	0	1	0	0	0	0	0	0	0
