feature_group	feature	BIZPRO	FlexGen 4-AE	pc/MRP	Masterplan	TERMS	Access SupplyChain	Innatrack	TFG4000 Business Management	ORCA	TRADEPAQ ERP Extreme Makeover
Accounting Features	Accrual-Based Costing	0	1	1	1	0	1	1	1	1	0
Accounting Features	Analytic Accounting	0	0	0	1	0	1	1	0	0	0
Accounting Features	Bank Reconciliation	0	1	0	1	1	1	0	0	1	0
Accounting Features	Budgeting & Forecasting	1	1	1	1	0	1	1	1	1	0
Accounting Features	Tax Preparation	0	1	1	1	0	1	0	0	1	0
Accounting Features	Billing & Invoicing	1	1	1	1	1	1	1	1	1	1
Business Intelligence Features	Custom Dashboards	0	0	0	1	0	1	1	0	0	1
Business Intelligence Features	Custom Reports	1	1	1	1	1	0	0	0	0	0
Business Intelligence Features	Role-Based Dashboards	0	1	1	1	0	1	1	1	1	1
Business Intelligence Features	Scorecards	0	0	1	1	0	0	0	0	0	0
CRM Features	Call Center Support	0	1	0	0	0	1	0	0	0	1
CRM Features	Contact Management	0	1	1	1	1	0	0	1	1	0
CRM Features	Customer Self-Service	0	1	0	1	0	0	0	0	0	1
CRM Features	Estimating & Quoting	0	1	1	1	0	0	0	1	0	1
CRM Features	Field Service Management	0	1	0	0	0	0	0	0	0	0
CRM Features	Help Desk	1	1	0	0	0	0	0	0	0	0
CRM Features	Knowledge Base	0	1	0	0	0	0	0	0	0	0
CRM Features	Sales Force Automation	1	1	1	1	1	0	0	1	1	0
eCommerce Features	Custom Design	0	0	0	0	0	0	0	1	0	1
eCommerce Features	Shopping Cart	0	0	0	0	0	0	0	0	1	0
HR Features	Benefits	0	1	1	1	0	0	0	0	1	0
HR Features	Employee Self-Service	0	0	0	0	0	1	0	0	0	1
HR Features	Leave Management	0	1	0	1	0	0	0	0	0	0
HR Features	Payroll	0	1	1	1	1	1	1	0	1	0
HR Features	Performance Review	0	1	1	1	0	0	1	0	1	0
HR Features	Recruiting	0	0	0	1	0	0	0	0	0	0
HR Features	Time & Attendance	1	1	1	1	1	1	1	0	1	0
HR Features	Training	0	1	0	1	0	1	0	0	0	1
Inventory Features	Fleet Management	0	1	1	0	1	0	1	1	1	0
Inventory Features	Multi-Location	1	1	1	1	0	1	1	0	0	0
Inventory Features	Reorder Triggers	0	0	0	1	0	1	1	1	0	0
Inventory Features	Tagging	0	1	1	1	0	1	1	1	0	0
Inventory Features	Inventory Forecasting	1	1	1	1	1	1	1	1	1	1
Maintenance Features	Capital Projects	0	0	0	1	0	0	0	1	0	0
Maintenance Features	CMMS	0	0	0	0	1	0	0	0	0	0
Maintenance Features	Fixed Assets	0	0	0	1	0	0	0	1	1	0
Manufacturing Features	Change Control	0	1	0	1	0	1	0	1	0	0
Manufacturing Features	Lean Manufacturing	0	1	0	1	0	0	0	0	0	0
Manufacturing Features	Sampling	1	0	0	1	0	0	0	0	0	0
Manufacturing Features	Quality Management	1	1	1	1	1	1	1	1	1	1
Project Management Features	Agile	0	1	0	0	0	0	0	0	0	0
Project Management Features	Gantt Charts	0	0	0	1	0	0	0	0	0	0
Project Management Features	Issue Tracking	0	1	1	1	1	1	1	0	0	0
Project Management Features	Resource Management	0	1	0	1	1	0	1	1	1	0
Sales & Marketing Features	Commissions	0	1	1	1	0	1	1	0	0	0
Sales & Marketing Features	Email/SMS Marketing	0	1	0	1	0	0	0	0	0	1
Sales & Marketing Features	Lead Management	0	0	0	1	0	0	0	0	0	0
Sales & Marketing Features	Marketing Automation	0	0	0	1	0	0	0	0	0	0
Sales & Marketing Features	Web Analytics	0	0	0	0	0	0	1	0	0	0
Supply Chain Management Features	Bid Management	0	1	0	1	0	0	1	0	0	0
Supply Chain Management Features	Demand Forecasting	1	1	1	0	0	1	0	1	0	0
Supply Chain Management Features	Inspection of Goods	0	1	1	1	0	0	0	1	0	0
Supply Chain Management Features	Order to Cash	0	0	1	1	1	1	0	1	0	1
Supply Chain Management Features	Product Configurator	0	1	0	1	0	0	1	0	0	0
Supply Chain Management Features	Request for Proposal	0	1	0	1	0	0	1	1	0	0
Supply Chain Management Features	Supplier Self-Service	0	1	0	1	0	0	0	0	0	0
